disorder1	disorder2	ngenes1	ngenes2	class1	class2	ncommon_genes 
Deafness, autosomal dominant 3	Bart-Pumphrey syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, autosomal dominant 3	Deafness, autosomal recessive 1	5	7	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, autosomal dominant 3	Deafness, nonsyndromic neurosensory, digenic	5	5	Ear,Nose,Throat	Ear,Nose,Throat	5
Deafness, autosomal dominant 3	Ectodermal dysplasia-1, anhidrotic	5	3	Ear,Nose,Throat	Dermatological	1
Deafness, autosomal dominant 3	Ectodermal dysplasia 2, hidrotic	5	5	Ear,Nose,Throat	Dermatological	5
Deafness, autosomal dominant 3	Hystrix-like ichthyosis with deafness	5	7	Ear,Nose,Throat	multiple	1
Deafness, autosomal dominant 3	Keratitis-ichthyosis-deafness syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, autosomal dominant 3	Keratoderma, palmoplantar, with deafness	5	7	Ear,Nose,Throat	Dermatological	1
Deafness, autosomal dominant 3	Vohwinkel syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, autosomal dominant 36	Deafness, autosomal recessive 7	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal dominant 36, with dentinogenesis	Dentin dysplasia, type II	5	5	Ear,Nose,Throat	Bone	5
Deafness, autosomal dominant 36, with dentinogenesis	Dentinogenesis imperfecta, Shields type II	5	5	Ear,Nose,Throat	Bone	5
Deafness, autosomal dominant 36, with dentinogenesis	Dentinogenesis imperfecta, Shields type III	5	5	Ear,Nose,Throat	Bone	5
Deafness, autosomal dominant 8	Deafness, autosomal dominant 12	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal dominant 8	Deafness, autosomal recessive 21	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal dominant 9	Meniere disease 156000 ()	2	2	Ear,Nose,Throat	Neurological	2
Deafness, autosomal dominant, with peripheral neuropathy	Deafness, autosomal dominant 2	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal dominant, with peripheral neuropathy	Deafness, autosomal dominant 2	3	2	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, autosomal dominant, with peripheral neuropathy	Deafness, autosomal recessive	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal dominant, with peripheral neuropathy	Erythrokeratodermia variabilis	3	3	Ear,Nose,Throat	Dermatological	3
Deafness, autosomal recessive 10, congenital	Deafness, autosomal recessive 8, childhood onset	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal recessive 1	Bart-Pumphrey syndrome	7	7	Ear,Nose,Throat	multiple	7
Deafness, autosomal recessive 1	Deafness, autosomal dominant 3	7	7	Ear,Nose,Throat	Ear,Nose,Throat	7
Deafness, autosomal recessive 1	Deafness, autosomal dominant 3	7	5	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, autosomal recessive 1	Deafness, nonsyndromic neurosensory, digenic	7	5	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, autosomal recessive 1	Ectodermal dysplasia 2, hidrotic	7	5	Ear,Nose,Throat	Dermatological	1
Deafness, autosomal recessive 1	Hystrix-like ichthyosis with deafness	7	7	Ear,Nose,Throat	multiple	7
Deafness, autosomal recessive 1	Keratitis-ichthyosis-deafness syndrome	7	7	Ear,Nose,Throat	multiple	7
Deafness, autosomal recessive 1	Keratoderma, palmoplantar, with deafness	7	7	Ear,Nose,Throat	Dermatological	7
Deafness, autosomal recessive 1	Vohwinkel syndrome	7	7	Ear,Nose,Throat	multiple	7
Deafness, autosomal recessive 12	Usher syndrome, type 1D	2	2	Ear,Nose,Throat	multiple	2
Deafness, autosomal recessive 18	Usher syndrome, type 1C	2	2	Ear,Nose,Throat	multiple	2
Deafness, autosomal recessive 21	Deafness, autosomal dominant 12	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal recessive 21	Deafness, autosomal dominant 8	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal recessive 23	Usher syndrome, type 1F	2	2	Ear,Nose,Throat	multiple	2
Deafness, autosomal recessive 2, neurosensory	Deafness, autosomal dominant 11, neurosensory	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal recessive 2, neurosensory	Usher syndrome, type 1B	4	4	Ear,Nose,Throat	multiple	4
Deafness, autosomal recessive 37	Deafness, autosomal dominant 22	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive 37	Deafness, sensorineural, with hypertrophic cardiomyopathy	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive	Deafness, autosomal dominant 2	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive	Deafness, autosomal dominant 2	3	2	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, autosomal recessive	Deafness, autosomal dominant, with peripheral neuropathy	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive	Erythrokeratodermia variabilis	3	3	Ear,Nose,Throat	Dermatological	3
Deafness, autosomal recessive 4	Enlarged vestibular aqueduct	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive 4	Pendred syndrome	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, autosomal recessive 7	Deafness, autosomal dominant 36	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, autosomal recessive 8, childhood onset	Deafness, autosomal recessive 10, congenital	4	4	Ear,Nose,Throat	Ear,Nose,Throat	4
Deafness, congenital heart defects, and posterior embryotoxon	Alagille syndrome	3	3	Ear,Nose,Throat	multiple	3
Deafness, congenital heart defects, and posterior embryotoxon	Tetralogy of Fallot	3	3	Ear,Nose,Throat	Cardiovascular	3
Deafness, nonsyndromic neurosensory, digenic	Bart-Pumphrey syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, nonsyndromic neurosensory, digenic	Deafness, autosomal dominant 3	5	7	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, nonsyndromic neurosensory, digenic	Deafness, autosomal dominant 3	5	5	Ear,Nose,Throat	Ear,Nose,Throat	5
Deafness, nonsyndromic neurosensory, digenic	Deafness, autosomal recessive 1	5	7	Ear,Nose,Throat	Ear,Nose,Throat	1
Deafness, nonsyndromic neurosensory, digenic	Ectodermal dysplasia-1, anhidrotic	5	3	Ear,Nose,Throat	Dermatological	1
Deafness, nonsyndromic neurosensory, digenic	Ectodermal dysplasia 2, hidrotic	5	5	Ear,Nose,Throat	Dermatological	5
Deafness, nonsyndromic neurosensory, digenic	Hystrix-like ichthyosis with deafness	5	7	Ear,Nose,Throat	multiple	1
Deafness, nonsyndromic neurosensory, digenic	Keratitis-ichthyosis-deafness syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, nonsyndromic neurosensory, digenic	Keratoderma, palmoplantar, with deafness	5	7	Ear,Nose,Throat	Dermatological	1
Deafness, nonsyndromic neurosensory, digenic	Vohwinkel syndrome	5	7	Ear,Nose,Throat	multiple	1
Deafness, sensorineural, with hypertrophic cardiomyopathy	Deafness, autosomal dominant 22	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, sensorineural, with hypertrophic cardiomyopathy	Deafness, autosomal recessive 37	3	3	Ear,Nose,Throat	Ear,Nose,Throat	3
Deafness, X-linked 1, progressive	Jensen syndrome	5	5	Ear,Nose,Throat	Neurological	5
Deafness, X-linked 1, progressive	Mohr-Tranebjaerg syndrome	5	5	Ear,Nose,Throat	Neurological	5
Debrisoquine sensitivity	Codeine sensitivity	3	3	Metabolic	Metabolic	3
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, dominant intermediate 3	4	5	multiple	Neurological	1
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, type 1A	4	4	multiple	Neurological	4
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, type 1B	4	5	multiple	Neurological	1
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, type 1E	4	4	multiple	Neurological	4
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, type 2I	4	5	multiple	Neurological	1
Dejerine-Sottas disease	Charcot-Marie-Tooth disease, type 2J	4	5	multiple	Neurological	1
Dejerine-Sottas disease	Dejerine-Sottas syndrome	4	5	multiple	multiple	1
Dejerine-Sottas disease	Neuropathy, congenital hypomyelinating	4	5	multiple	Neurological	1
Dejerine-Sottas disease	Neuropathy, recurrent, with pressure palsies	4	4	multiple	Neurological	4
Dejerine-Sottas disease	Roussy-Levy syndrome	4	5	multiple	multiple	1
Dejerine-Sottas disease	Roussy-Levy syndrome	4	4	multiple	multiple	4
Dejerine-Sottas neuropathy	Charcot-Marie-Tooth disease, type 1D	2	2	multiple	Neurological	2
Dejerine-Sottas neuropathy	Neuropathy, congenital hypomyelinating, 1	2	2	multiple	Neurological	2
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, dominant intermediate 3	5	5	multiple	Neurological	5
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, type 1A	5	4	multiple	Neurological	1
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, type 1B	5	5	multiple	Neurological	5
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, type 1E	5	4	multiple	Neurological	1
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, type 2I	5	5	multiple	Neurological	5
Dejerine-Sottas syndrome	Charcot-Marie-Tooth disease, type 2J	5	5	multiple	Neurological	5
Dejerine-Sottas syndrome	Dejerine-Sottas disease	5	4	multiple	multiple	1
Dejerine-Sottas syndrome	Neuropathy, congenital hypomyelinating	5	5	multiple	Neurological	5
Dejerine-Sottas syndrome	Neuropathy, recurrent, with pressure palsies	5	4	multiple	Neurological	1
Dejerine-Sottas syndrome	Roussy-Levy syndrome	5	5	multiple	multiple	5
Dejerine-Sottas syndrome	Roussy-Levy syndrome	5	4	multiple	multiple	1
Dementia, familial British	Dementia, familial Danish	4	4	Neurological	Neurological	4
Dementia, familial Danish	Dementia, familial British	4	4	Neurological	Neurological	4
Dementia, frontotemporal	Alzheimer disease, type 3	2	2	Neurological	Neurological	2
Dementia, frontotemporal	Alzheimer disease, type 3, with spastic paraparesis and apraxia	2	2	Neurological	Neurological	2
Dementia, frontotemporal	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	2	2	Neurological	Neurological	2
Dementia, frontotemporal	Pick disease	2	2	Neurological	Neurological	2
Dementia, frontotemporal, with parkinsonism	Dementia, Pick disease-like	4	4	Neurological	Neurological	4
Dementia, frontotemporal, with parkinsonism	Pallidopontonigral degeneration	4	4	Neurological	Neurological	4
Dementia, frontotemporal, with parkinsonism	Supranuclear palsy, progressive	4	4	Neurological	Neurological	4
Dementia, frontotemporal, with parkinsonism	Supranuclear palsy, progressive atypical	4	4	Neurological	Neurological	4
Dementia, frontotemporal, with parkinsonism	Tauopathy and respiratory failure	4	4	Neurological	Neurological	4
Dementia, Lewy body	Parkinson disease 4, autosomal dominant Lewy body	4	4	Neurological	Neurological	4
Dementia, Lewy body	Parkinson disease, familial	4	4	Neurological	Neurological	4
Dementia, Pick disease-like	Dementia, frontotemporal, with parkinsonism	4	4	Neurological	Neurological	4
Dementia, Pick disease-like	Pallidopontonigral degeneration	4	4	Neurological	Neurological	4
Dementia, Pick disease-like	Supranuclear palsy, progressive	4	4	Neurological	Neurological	4
Dementia, Pick disease-like	Supranuclear palsy, progressive atypical	4	4	Neurological	Neurological	4
Dementia, Pick disease-like	Tauopathy and respiratory failure	4	4	Neurological	Neurological	4
Dementia, vascular, susceptibility to	Asthma, susceptibility to	2	2	Neurological	Respiratory	2
Dementia, vascular, susceptibility to	Malaria, cerebral, susceptibility to	2	2	Neurological	Immunological	2
Dementia, vascular, susceptibility to	Migraine without aura, susceptibility to	2	2	Neurological	Neurological	2
Dementia, vascular, susceptibility to	Septic shock, susceptibility to	2	2	Neurological	Immunological	2
Dental anomalies, isolated	Cleidocranial dysplasia	4	4	Skeletal	Skeletal	4
Dent disease	Dent syndrome	4	4	Renal	Renal	1
Dent disease	Hypophosphatemia, type III	4	4	Renal	Metabolic	4
Dent disease	Lowe syndrome	4	4	Renal	Metabolic	1
Dent disease	Nephrolithiasis, type I	4	4	Renal	Renal	4
Dent disease	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis	4	4	Renal	Renal	4
Dentin dysplasia, type II	Deafness, autosomal dominant 36, with dentinogenesis	5	5	Bone	Ear,Nose,Throat	5
Dentin dysplasia, type II	Dentinogenesis imperfecta, Shields type II	5	5	Bone	Bone	5
Dentin dysplasia, type II	Dentinogenesis imperfecta, Shields type III	5	5	Bone	Bone	5
Dentinogenesis imperfecta, Shields type II	Deafness, autosomal dominant 36, with dentinogenesis	5	5	Bone	Ear,Nose,Throat	5
Dentinogenesis imperfecta, Shields type II	Dentin dysplasia, type II	5	5	Bone	Bone	5
Dentinogenesis imperfecta, Shields type II	Dentinogenesis imperfecta, Shields type III	5	5	Bone	Bone	5
Dentinogenesis imperfecta, Shields type III	Deafness, autosomal dominant 36, with dentinogenesis	5	5	Bone	Ear,Nose,Throat	5
Dentinogenesis imperfecta, Shields type III	Dentin dysplasia, type II	5	5	Bone	Bone	5
Dentinogenesis imperfecta, Shields type III	Dentinogenesis imperfecta, Shields type II	5	5	Bone	Bone	5
Dent syndrome	Dent disease	4	4	Renal	Renal	1
Dent syndrome	Hypophosphatemia, type III	4	4	Renal	Metabolic	1
Dent syndrome	Lowe syndrome	4	4	Renal	Metabolic	4
Dent syndrome	Nephrolithiasis, type I	4	4	Renal	Renal	1
Dent syndrome	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis	4	4	Renal	Renal	1
Denys-Drash syndrome	Frasier syndrome	1	1	Renal	multiple	1
Denys-Drash syndrome	Mesangial sclerosis, isolated diffuse	1	1	Renal	Renal	1
Denys-Drash syndrome	WAGR syndrome	1	1	Renal	multiple	1
Denys-Drash syndrome	Wilms tumor, type 1	1	1	Renal	Cancer	1
Dermatofibrosarcoma protuberans	Giant-cell fibroblastoma	2	2	Cancer	Cancer	2
Dermatofibrosarcoma protuberans	Meningioma, SIS-related	2	2	Cancer	Cancer	2
De Sanctis-Cacchione syndrome	Cerebrooculofacioskeletal syndrome 214150	4	4	multiple	multiple	4
De Sanctis-Cacchione syndrome	Cockayne syndrome, type B	4	4	multiple	multiple	4
Desmoid disease, hereditary	Adenoma, periampullary	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Adenomatous polyposis coli	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Adenomatous polyposis coli, attenuated	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Colorectal cancer	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Gardner syndrome	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Gastric cancer	3	3	Cancer	Cancer	3
Desmoid disease, hereditary	Turcot syndrome	3	3	Cancer	Cancer	3
Diabetes insipidus, nephrogenic	Calcinosis, tumoral	4	4	Endocrine	Bone	1
Diabetes insipidus, nephrogenic	Hypophosphatemic rickets, autosomal dominant	4	4	Endocrine	Bone	1
Diabetes insipidus, nephrogenic	Nephrogenic syndrome of inappropriate antidiuresis	4	4	Endocrine	Renal	4
Diabetes insipidus, nephrogenic, autosomal dominant	Diabetes insipidus, nephrogenic, autosomal recessive	1	1	Endocrine	Endocrine	1
Diabetes insipidus, nephrogenic, autosomal recessive	Diabetes insipidus, nephrogenic, autosomal dominant	1	1	Endocrine	Endocrine	1
Diabetes mellitus	Diabetes mellitus, permanent neonatal, with neurologic features	4	3	Endocrine	Endocrine	1
Diabetes mellitus	Diabetes, permanent neonatal	4	3	Endocrine	Endocrine	1
Diabetes mellitus	Hypoglycemia of infancy, leucine-sensitive	4	4	Endocrine	Metabolic	4
Diabetes mellitus	Hypoglycemia of infancy, persistent hyperinsulinemic	4	4	Endocrine	Metabolic	4
Diabetes mellitus	Persistent hyperinsulinemic hypoglycemia of infancy	4	3	Endocrine	Metabolic	1
Diabetes mellitus, insulin-dependent	Diabetes mellitus, noninsulin-dependent, 2	3	3	Endocrine	Endocrine	3
Diabetes mellitus, insulin-dependent	Hepatic adenoma	3	3	Endocrine	Cancer	3
Diabetes mellitus, insulin-dependent	MODY, type III	3	3	Endocrine	Endocrine	3
Diabetes mellitus, insulin-dependent, susceptibility to	Lymphoproliferative syndrome, X-linked	4	5	Endocrine	Cancer	1
Diabetes mellitus, insulin-dependent, susceptibility to	Rheumatoid arthritis, susceptibility to	4	4	Endocrine	Connective tissue	4
Diabetes mellitus, insulin-dependent, susceptibility to	Systemic lupus erythematosus, susceptibility to	4	4	Endocrine	Immunological	4
Diabetes mellitus, insulin-resistant, with acanthosis nigricans	Leprechaunism	1	1	Endocrine	Developmental	1
Diabetes mellitus, insulin-resistant, with acanthosis nigricans	Rabson-Mendenhall syndrome	1	1	Endocrine	multiple	1
Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Glioblastoma, susceptibility to	3	3	Endocrine	Cancer	3
Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Insulin resistance, severe, digenic	3	3	Endocrine	Metabolic	3
Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Lipodystrophy, familial partial	3	3	Endocrine	Metabolic	3
Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Obesity, resistance to	3	3	Endocrine	Nutritional	3
Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Obesity, severe	3	3	Endocrine	Nutritional	3
Diabetes mellitus, neonatal-onset	Hyperinsulinism, familial	1	1	Endocrine	Metabolic	1
Diabetes mellitus, neonatal-onset	MODY, type II	1	1	Endocrine	Endocrine	1
Diabetes mellitus, noninsulin-dependent	MODY, type I	3	3	Endocrine	Endocrine	3
Diabetes mellitus, noninsulin-dependent	Glomerulocystic kidney disease, hypoplastic	2	2	Endocrine	Renal	2
Diabetes mellitus, noninsulin-dependent	MODY5 with nephron agenesis	2	2	Endocrine	Endocrine	2
Diabetes mellitus, noninsulin-dependent	MODY5 with non-diabetic renal disease and Mullerian aplasia	2	2	Endocrine	Endocrine	2
Diabetes mellitus, noninsulin-dependent	MODY, type V	2	2	Endocrine	Endocrine	2
Diabetes mellitus, noninsulin-dependent, 2	Diabetes mellitus, insulin-dependent	3	3	Endocrine	Endocrine	3
Diabetes mellitus, noninsulin-dependent, 2	Hepatic adenoma	3	3	Endocrine	Cancer	3
Diabetes mellitus, noninsulin-dependent, 2	MODY, type III	3	3	Endocrine	Endocrine	3
Diabetes mellitus, noninsulin-dependent	Fanconi-Bickel syndrome	2	2	Endocrine	Metabolic	2
Diabetes mellitus, non-insulin-dependent, susceptibility to	Obesity, susceptibility to	5	5	Endocrine	Nutritional	5
Diabetes mellitus, non-insulin-dependent, susceptibility to	Ossification of posterior longitudinal ligament of spine	5	5	Endocrine	Connective tissue	5
Diabetes mellitus, noninsulin-dependent, susceptibility to	Hypertension, insulin resistance-related, susceptibility to	3	3	Endocrine	Cardiovascular	3
Diabetes mellitus, permanent neonatal, with neurologic features	Diabetes mellitus	3	4	Endocrine	Endocrine	1
Diabetes mellitus, permanent neonatal, with neurologic features	Diabetes, permanent neonatal	3	3	Endocrine	Endocrine	3
Diabetes mellitus, permanent neonatal, with neurologic features	Hypoglycemia of infancy, leucine-sensitive	3	4	Endocrine	Metabolic	1
Diabetes mellitus, permanent neonatal, with neurologic features	Hypoglycemia of infancy, persistent hyperinsulinemic	3	4	Endocrine	Metabolic	1
Diabetes mellitus, permanent neonatal, with neurologic features	Persistent hyperinsulinemic hypoglycemia of infancy	3	3	Endocrine	Metabolic	3
Diabetes mellitus, type II, susceptibility to	MODY, type IV	1	1	Endocrine	Endocrine	1
Diabetes mellitus, type II, susceptibility to	Pancreatic agenesis	1	1	Endocrine	Gastrointestinal	1
Diabetes mellitus, type I, susceptibility to	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	5	5	Endocrine	multiple	5
Diabetes, permanent neonatal	Diabetes mellitus	3	4	Endocrine	Endocrine	1
Diabetes, permanent neonatal	Diabetes mellitus, permanent neonatal, with neurologic features	3	3	Endocrine	Endocrine	3
Diabetes, permanent neonatal	Hypoglycemia of infancy, leucine-sensitive	3	4	Endocrine	Metabolic	1
Diabetes, permanent neonatal	Hypoglycemia of infancy, persistent hyperinsulinemic	3	4	Endocrine	Metabolic	1
Diabetes, permanent neonatal	Persistent hyperinsulinemic hypoglycemia of infancy	3	3	Endocrine	Metabolic	3
Diabetic nephropathy, susceptibility to	Alzheimer disease, susceptibility to	3	3	Endocrine	Neurological	3
Diabetic nephropathy, susceptibility to	Angiotensin I-converting enzyme, benign serum increase	3	3	Endocrine	Endocrine	3
Diabetic nephropathy, susceptibility to	Myocardial infarction, susceptibility to	3	3	Endocrine	Cardiovascular	3
Diabetic nephropathy, susceptibility to	Renal tubular dysgenesis	3	3	Endocrine	Renal	3
Diabetic nephropathy, susceptibility to	SARS, progression of	3	3	Endocrine	Immunological	3
Diastrophic dysplasia	Achondrogenesis Ib	5	5	Skeletal	Bone	5
Diastrophic dysplasia	Atelosteogenesis II	5	5	Skeletal	Connective tissue	5
Diastrophic dysplasia	Diastrophic dysplasia, broad bone-platyspondylic variant	5	5	Skeletal	Skeletal	5
Diastrophic dysplasia	Epiphyseal dysplasia, multiple	5	5	Skeletal	Bone	5
Diastrophic dysplasia, broad bone-platyspondylic variant	Achondrogenesis Ib	5	5	Skeletal	Bone	5
Diastrophic dysplasia, broad bone-platyspondylic variant	Atelosteogenesis II	5	5	Skeletal	Connective tissue	5
Diastrophic dysplasia, broad bone-platyspondylic variant	Diastrophic dysplasia	5	5	Skeletal	Skeletal	5
Diastrophic dysplasia, broad bone-platyspondylic variant	Epiphyseal dysplasia, multiple	5	5	Skeletal	Bone	5
DiGeorge syndrome	Conotruncal anomaly face syndrome	8	8	multiple	Cardiovascular	8
DiGeorge syndrome	Velocardiofacial syndrome	8	8	multiple	multiple	8
Dilated cardiomyopathy with woolly hair and keratoderma	Arrhythmogenic right ventricular dysplasia 8	3	3	multiple	Cardiovascular	3
Dilated cardiomyopathy with woolly hair and keratoderma	Epidermolysis bullosa, lethal acantholytic	3	3	multiple	Dermatological	3
Dilated cardiomyopathy with woolly hair and keratoderma	Keratosis palmoplantaris striata II	3	3	multiple	Dermatological	3
Dilated cardiomyopathy with woolly hair and keratoderma	Skin fragility-woolly hair syndrome	3	3	multiple	Dermatological	3
Disordered steroidogenesis, isolated	Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750	1	1	Metabolic	Endocrine	1
Disordered steroidogenesis, isolated	Antley-Bixler syndrome	1	1	Metabolic	Unclassified	1
Dissection of cervical arteries	Caffey disease	1	1	Connective tissue	Connective tissue	1
Dissection of cervical arteries	Ehlers-Danlos syndrome, type I	1	1	Connective tissue	Connective tissue	1
Dissection of cervical arteries	Ehlers-Danlos syndrome, type VII	1	1	Connective tissue	Connective tissue	1
Dissection of cervical arteries	Osteogenesis imperfecta, type I	1	1	Connective tissue	Bone	1
Dissection of cervical arteries	Osteogenesis imperfecta, type II	1	1	Connective tissue	Bone	1
Dissection of cervical arteries	Osteogenesis imperfecta, type III	1	1	Connective tissue	Bone	1
Dissection of cervical arteries	Osteogenesis imperfecta, type IV	1	1	Connective tissue	Bone	1
Dissection of cervical arteries	Osteoporosis	1	1	Connective tissue	Bone	1
Dopamine-beta-hydroxylase activity levels, plasma	Dopamine beta-hydroxylase deficiency	1	1	Metabolic	Metabolic	1
Dopamine-beta-hydroxylase activity levels, plasma	Parkinson disease, resistance to	1	1	Metabolic	Neurological	1
Dopamine beta-hydroxylase deficiency	Dopamine-beta-hydroxylase activity levels, plasma	1	1	Metabolic	Metabolic	1
Dopamine beta-hydroxylase deficiency	Parkinson disease, resistance to	1	1	Metabolic	Neurological	1
Dosage-sensitive sex reversal	Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	4	4	Endocrine	Endocrine	4
Double-outlet right ventricle	Heterotaxy, visceral	3	3	Cardiovascular	multiple	3
Double-outlet right ventricle	Transposition of great arteries, dextro-looped	3	3	Cardiovascular	Developmental	3
Down syndrome, risk of	Methylcobalamin deficiency, cblG type	1	1	multiple	Metabolic	1
Down syndrome, risk of	Spina bifida, risk of, 601634	1	1	multiple	Developmental	1
Duchenne muscular dystrophy	Becker muscular dystrophy	2	2	Muscular	Muscular	2
Duchenne muscular dystrophy	Cardiomyopathy, dilated, X-linked	2	2	Muscular	Cardiovascular	2
Dyggve-Melchior-Clausen disease	Smith-McCort dysplasia	4	4	multiple	Skeletal	4
Dysalbuminemic hyperthyroxinemia	Analbuminemia	1	1	Hematological	Hematological	1
Dyserythropoietic anemia with thrombocytopenia	Fibromatosis, gingival	4	4	Hematological	Connective tissue	1
Dyserythropoietic anemia with thrombocytopenia	Leukemia, megakaryoblastic, of Down syndrome	4	4	Hematological	Cancer	4
Dyserythropoietic anemia with thrombocytopenia	Leukemia, megakaryoblastic, with or without Down syndrome	4	4	Hematological	Cancer	4
Dyserythropoietic anemia with thrombocytopenia	Macrothrombocytopenia	4	4	Hematological	Hematological	4
Dysfibrinogenemia, alpha type, causing bleeding diathesis	Afibrinogenemia	1	1	Hematological	Hematological	1
Dysfibrinogenemia, alpha type, causing bleeding diathesis	Amyloidosis, hereditary renal	1	1	Hematological	Neurological	1
Dysfibrinogenemia, alpha type, causing bleeding diathesis	Dysfibrinogenemia, alpha type, causing recurrent thrombosis	1	1	Hematological	Hematological	1
Dysfibrinogenemia, alpha type, causing recurrent thrombosis	Afibrinogenemia	1	1	Hematological	Hematological	1
Dysfibrinogenemia, alpha type, causing recurrent thrombosis	Amyloidosis, hereditary renal	1	1	Hematological	Neurological	1
Dysfibrinogenemia, alpha type, causing recurrent thrombosis	Dysfibrinogenemia, alpha type, causing bleeding diathesis	1	1	Hematological	Hematological	1
Dysfibrinogenemia, beta type	Afibrinogenemia, congenital	1	1	Hematological	Hematological	1
Dysfibrinogenemia, beta type	Thrombophilia, dysfibrinogenemic	1	1	Hematological	Hematological	1
Dysfibrinogenemia, gamma type	Hypofibrinogenemia, gamma type	1	1	Hematological	Hematological	1
Dysfibrinogenemia, gamma type	Thrombophilia, dysfibrinogenemic	1	1	Hematological	Hematological	1
Dyskeratosis congenita-1	Hoyeraal-Hreidarsson syndrome	2	2	Dermatological	multiple	2
Dyskeratosis congenita, autosomal dominant	Aplastic anemia	3	3	Dermatological	Hematological	3
Dysprothrombinemia	Hyperprothrombinemia	1	1	Hematological	Hematological	1
Dysprothrombinemia	Hypoprothrombinemia	1	1	Hematological	Hematological	1
Dyssegmental dysplasia, Silverman-Handmaker type	Schwartz-Jampel syndrome, type 1	5	5	Neurological	multiple	5
Dystonia-1, torsion	Dystonia, early-onset atypical, with myoclonic features	2	2	Neurological	Neurological	2
Dystonia, early-onset atypical, with myoclonic features	Dystonia-1, torsion	2	2	Neurological	Neurological	2
Dystonia, primary cervical	Attention deficit-hyperactivity disorder, susceptibility to	3	3	Neurological	Psychiatric	3
Dystonia, primary cervical	Blepharospasm, primary benign	3	3	Neurological	Ophthamological	3
Dystransthyretinemic hyperthyroxinemia	Amyloid neuropathy, familial, several allelic types	2	2	Hematological	Neurological	2
Dystransthyretinemic hyperthyroxinemia	Amyloidosis, senile systemic	2	2	Hematological	Neurological	2
Dystransthyretinemic hyperthyroxinemia	Carpal tunnel syndrome, familial	2	2	Hematological	Unclassified	2
EBD, Bart type	EBD, localisata variant	1	1	Dermatological	Dermatological	1
EBD, Bart type	Epidermolysis bullosa dystrophica, AD	1	1	Dermatological	Dermatological	1
