	disorder	class	gene_list
713	Corneal dystrophy, lattice type I	Ophthamological	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2
714	Corneal dystrophy, lattice type IIIA	Ophthamological	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2
715	Corneal dystrophy, Reis-Bucklers type	Ophthamological	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2
716	Corneal dystrophy, Thiel-Behnke type	Ophthamological	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2
717	Corneal fleck dystrophy	Ophthamological	PIP5K3, CFD
718	Cornea plana congenita, recessive	Ophthamological	KERA, CNA2
719	Cornelia de Lange syndrome	Developmental	NIPBL, CDLS
720	Coronary artery disease, autosomal dominant, 1	Cardiovascular	MEF2A, ADCAD1
721	Coronary artery disease in familial hypercholesterolemia, protection against	Cardiovascular	ABCA1, ABC1, HDLDT1, TGD
722	Coronary artery disease, susceptibility to	Cardiovascular	KL
723	Coronary artery disease, susceptibility to	Cardiovascular	PON1, PON, ESA
724	Coronary artery disease, susceptibility to	Cardiovascular	PON2
725	Coronary artery spasm, susceptibility to	Cardiovascular	PON1, PON, ESA
726	Coronary heart disease, susceptibility to	Cardiovascular	MMP3, STMY1
727	Coronary spasms, susceptibility to	Cardiovascular	NOS3
728	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia	Neurological	IGBP1
729	Cortisol resistance	Endocrine	NR3C1, GCR, GRL
730	Cortisone reductase deficiency	Metabolic	GDH
731	Cortisone reductase deficiency	Metabolic	HSD11B1, HSD11, HSD11L
732	Costello syndrome	multiple	HRAS
733	Coumarin resistance	Hematological	CYP2A6, CYP2A3, CYP2A, P450C2A
734	Cowden disease	Cancer	PTEN, MMAC1
735	Cowden-like syndrome	Cancer	BMPR1A, ACVRLK3, ALK3
736	CPT deficiency, hepatic, type IA	Metabolic	CPT1A
737	CPT deficiency, hepatic, type II	Metabolic	CPT2
738	CPT II deficiency, lethal neonatal	Metabolic	CPT2
739	Cramps, familial, potassium-aggravated	Muscular	SCN4A, HYPP, NAC1A
740	Craniofacial anomalies, empty sella turcica, corneal endothelial changes, and abnormal retinal and auditory bipolar cells	multiple	VSX1, RINX, PPCD, PPD, KTCN
741	Craniofacial-deafness-hand syndrome	multiple	PAX3, WS1, HUP2, CDHS
742	Craniofacial-skeletal-dermatologic dysplasia	multiple	FGFR2, BEK, CFD1, JWS
743	Craniofrontonasal dysplasia	Skeletal	EFNB1, EPLG2, CFNS, CFND
744	Craniometaphyseal dysplasia	Bone	ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD
745	Craniosynostosis, nonspecific	Skeletal	FGFR2, BEK, CFD1, JWS
746	Craniosynostosis, type 2	Skeletal	MSX2, CRS2, HOX8
747	CRASH syndrome	multiple	L1CAM, CAML1, HSAS1
748	Creatine deficiency syndrome, X-linked	Neurological	SLC6A8, CRTR
749	Creatine phosphokinase, elevated serum	Metabolic	CAV3, LGMD1C
750	Creatine phosphokinase, elevated serum	Metabolic	CAV3, LGMD1C
751	Creutzfeldt-Jakob disease	Neurological	PRNP, PRIP
752	Creutzfeldt-Jakob disease, variant, resistance to	Neurological	HLA-DQB1
753	Crigler-Najjar syndrome, type I	multiple	UGT1A1, UGT1, GNT1
754	Crigler-Najjar syndrome, type II	multiple	UGT1A1, UGT1, GNT1
755	Crohn disease, susceptibility to	Gastrointestinal	CARD15, NOD2, IBD1, CD, ACUG, PSORAS1
756	Crohn disease, susceptibility to	Gastrointestinal	DLG5, PDLG, KIAA0583
757	Crouzon syndrome	Skeletal	FGFR2, BEK, CFD1, JWS
758	Crouzon syndrome with acanthosis nigricans	Skeletal	FGFR3, ACH
759	Cryptorchidism, bilateral	Renal	LGR8, GREAT
760	Cryptorchidism, idiopathic	Renal	INSL3
761	Currarino syndrome	Skeletal	HLXB9, HOXHB9, SCRA1
762	Cutis laxa, AD	Connective tissue	ELN
763	Cutis laxa, autosomal dominant	Connective tissue	FBLN5, ARMD3
764	Cutis laxa, autosomal recessive	Connective tissue	FBLN5, ARMD3
765	Cutis laxa, neonatal	Connective tissue	ATP7A, MNK, MK, OHS
766	Cyclic ichthyosis with epidermolytic hyperkeratosis	Dermatological	KRT1
767	Cylindromatosis, familial	Dermatological	CYLD1, CDMT, EAC
768	Cystathioninuria	Metabolic	CTH
769	Cystic fibrosis	Respiratory	CFTR, ABCC7, CF, MRP7
770	Cystinosis, atypical nephropathic	Renal	CTNS
771	Cystinosis, late-onset juvenile or adolescent nephropathic	Renal	CTNS
772	Cystinosis, nephropathic	Renal	CTNS
773	Cystinosis, ocular nonnephropathic	Renal	CTNS
774	Cystinuria	Renal	SLC3A1, ATR1, D2H, NBAT
775	Cystinuria, type II	Renal	SLC7A9, CSNU3
776	Cystinuria, type III	Renal	SLC7A9, CSNU3
777	D-2-hydroxyglutaric aciduria	Metabolic	D2HGD
778	Darier disease	Dermatological	ATP2A2, ATP2B, DAR
779	D-bifunctional protein deficiency	Metabolic	HSD17B4
780	Deafness, autosomal dominant 10	Ear,Nose,Throat	EYA4, DFNA10, CMD1J
781	Deafness, autosomal dominant 1	Ear,Nose,Throat	DIAPH1, DFNA1, LFHL1
782	Deafness, autosomal dominant 11, neurosensory	Ear,Nose,Throat	MYO7A, USH1B, DFNB2, DFNA11
783	Deafness, autosomal dominant 12	Ear,Nose,Throat	TECTA, DFNA8, DFNA12, DFNB21
784	Deafness, autosomal dominant 13	Ear,Nose,Throat	COL11A2, STL3, DFNA13
785	Deafness, autosomal dominant 15	Ear,Nose,Throat	POU4F3, BRN3C
786	Deafness, autosomal dominant 17	Ear,Nose,Throat	MYH9, MHA, FTNS, DFNA17
787	Deafness, autosomal dominant 20/26	Ear,Nose,Throat	ACTG1, DFNA20, DFNA26
788	Deafness, autosomal dominant 22	Ear,Nose,Throat	MYO6, DFNA22, DFNB37
789	Deafness, autosomal dominant 2	Ear,Nose,Throat	GJB3, CX31, DFNA2
790	Deafness, autosomal dominant 2	Ear,Nose,Throat	KCNQ4, DFNA2
791	Deafness, autosomal dominant 28	Ear,Nose,Throat	TFCP2L3, DFNA28
792	Deafness, autosomal dominant 3	Ear,Nose,Throat	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
793	Deafness, autosomal dominant 3	Ear,Nose,Throat	GJB6, CX30, DFNA3, HED, ED2
794	Deafness, autosomal dominant 36	Ear,Nose,Throat	TMC1, DFNB7, DFNB11, DFNA36
795	Deafness, autosomal dominant 36, with dentinogenesis	Ear,Nose,Throat	DSPP, DPP, DGI1, DFNA39, DTDP2
796	Deafness, autosomal dominant 40	Ear,Nose,Throat	CRYM, DFNA40
797	Deafness, autosomal dominant 4	Ear,Nose,Throat	MYH14, KIAA2034, DFNA4
798	Deafness, autosomal dominant 5	Ear,Nose,Throat	DFNA5
799	Deafness, autosomal dominant 8	Ear,Nose,Throat	TECTA, DFNA8, DFNA12, DFNB21
800	Deafness, autosomal dominant 9	Ear,Nose,Throat	COCH, DFNA9
801	Deafness, autosomal dominant nonsyndromic sensorineural	Ear,Nose,Throat	MYO1A
802	Deafness, autosomal dominant, with peripheral neuropathy	Ear,Nose,Throat	GJB3, CX31, DFNA2
803	Deafness, autosomal recessive 10, congenital	Ear,Nose,Throat	TMPRSS3, ECHOS1, DFNB8, DFNB10
804	Deafness, autosomal recessive 1	Ear,Nose,Throat	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
805	Deafness, autosomal recessive 12	Ear,Nose,Throat	CDH23, USH1D
806	Deafness, autosomal recessive 12, modifier of	Ear,Nose,Throat	ATP2B2, PMCA2
807	Deafness, autosomal recessive 16	Ear,Nose,Throat	STRC, DFNB16
808	Deafness, autosomal recessive 18	Ear,Nose,Throat	USH1C, DFNB18
809	Deafness, autosomal recessive 21	Ear,Nose,Throat	TECTA, DFNA8, DFNA12, DFNB21
810	Deafness, autosomal recessive 22	Ear,Nose,Throat	OTOA, DFNB22
811	Deafness, autosomal recessive 23	Ear,Nose,Throat	PCDH15, DFNB23
812	Deafness, autosomal recessive 29	Ear,Nose,Throat	CLDN14, DFNB29
813	Deafness, autosomal recessive 2, neurosensory	Ear,Nose,Throat	MYO7A, USH1B, DFNB2, DFNA11
814	Deafness, autosomal recessive 30	Ear,Nose,Throat	MYO3A, DFNB30
815	Deafness, autosomal recessive 31	Ear,Nose,Throat	WHRN, CIP98, KIAA1526, DFNB31
816	Deafness, autosomal recessive 3	Ear,Nose,Throat	MYO15A, DFNB3
817	Deafness, autosomal recessive 36	Ear,Nose,Throat	ESPN
818	Deafness, autosomal recessive 37	Ear,Nose,Throat	MYO6, DFNA22, DFNB37
819	Deafness, autosomal recessive	Ear,Nose,Throat	GJB3, CX31, DFNA2
820	Deafness, autosomal recessive 4	Ear,Nose,Throat	SLC26A4, PDS, DFNB4
821	Deafness, autosomal recessive 61	Ear,Nose,Throat	PRES, DFNB61, SLC26A5
822	Deafness, autosomal recessive 6	Ear,Nose,Throat	TMIE, DFNB6
823	Deafness, autosomal recessive 7	Ear,Nose,Throat	TMC1, DFNB7, DFNB11, DFNA36
824	Deafness, autosomal recessive 8, childhood onset	Ear,Nose,Throat	TMPRSS3, ECHOS1, DFNB8, DFNB10
825	Deafness, autosomal recessive 9	Ear,Nose,Throat	OTOF, DFNB9, NSRD9
826	Deafness, congenital heart defects, and posterior embryotoxon	Ear,Nose,Throat	JAG1, AGS, AHD
827	Deafness, nonsyndromic ()	Ear,Nose,Throat	KIAA1199
828	Deafness, nonsyndromic neurosensory, digenic	Ear,Nose,Throat	GJB6, CX30, DFNA3, HED, ED2
829	Deafness, sensorineural, with hypertrophic cardiomyopathy	Ear,Nose,Throat	MYO6, DFNA22, DFNB37
830	Deafness, X-linked 1, progressive	Ear,Nose,Throat	TIMM8A, DFN1, DDP, MTS, DDP1
831	Deafness, X-linked 3, conductive, with stapes fixation	Ear,Nose,Throat	POU3F4, DFN3
832	Debrisoquine sensitivity	Metabolic	CYP2D@, CYP2D, P450C2D
833	Dejerine-Sottas disease	multiple	PMP22, CMT1A, CMT1E, DSS
834	Dejerine-Sottas neuropathy	multiple	EGR2, KROX20
835	Dejerine-Sottas neuropathy, autosomal recessive	multiple	PRX, CMT4F
836	Dejerine-Sottas syndrome	multiple	MPZ, CMT1B, CMTDI3, CHM, DSS
837	Delayed sleep phase syndrome, susceptibility to	Psychiatric	AANAT, SNAT
838	Dementia, familial British	Neurological	ITM2B, BRI, ABRI, FBD
839	Dementia, familial Danish	Neurological	ITM2B, BRI, ABRI, FBD
840	Dementia, frontotemporal	Neurological	PSEN1, AD3
841	Dementia, frontotemporal, with parkinsonism	Neurological	MAPT, MTBT1, DDPAC, MSTD
842	Dementia, Lewy body	Neurological	SNCA, NACP, PARK1, PARK4
843	Dementia, Lewy body	Neurological	SNCB
844	Dementia, Pick disease-like	Neurological	MAPT, MTBT1, DDPAC, MSTD
845	Dementia, vascular, susceptibility to	Neurological	TNF, TNFA
846	Dengue fever, protection against	Immunological	CD209, CDSIGN
847	Dental anomalies, isolated	Skeletal	RUNX2, CBFA1, PEBP2A1, AML3
848	Dentatorubro-pallidoluysian atrophy	Neurological	DRPLA
849	Dent disease	Renal	CLCN5, CLCK2, NPHL2, DENTS
850	Dentin dysplasia, type II	Bone	DSPP, DPP, DGI1, DFNA39, DTDP2
851	Dentinogenesis imperfecta, Shields type II	Bone	DSPP, DPP, DGI1, DFNA39, DTDP2
852	Dentinogenesis imperfecta, Shields type III	Bone	DSPP, DPP, DGI1, DFNA39, DTDP2
853	Dent syndrome	Renal	OCRL, LOCR, OCRL1, NPHL2
854	Denys-Drash syndrome	Renal	WT1
855	Dermatofibrosarcoma protuberans	Cancer	PDGFB, SIS
856	De Sanctis-Cacchione syndrome	multiple	ERCC6, CKN2, COFS, CSB
857	Desmoid disease, hereditary	Cancer	APC, GS, FPC
858	Desmosterolosis	Metabolic	DHCR24, KIAA0018
859	Diabetes insipidus, nephrogenic	Endocrine	AVPR2, DIR, DI1, ADHR
860	Diabetes insipidus, nephrogenic, autosomal dominant	Endocrine	AQP2
861	Diabetes insipidus, nephrogenic, autosomal recessive	Endocrine	AQP2
862	Diabetes insipidus, neurohypophyseal	Endocrine	AVP, AVRP, VP
863	Diabetes mellitus	Endocrine	ABCC8, SUR, PHHI, SUR1
864	Diabetes mellitus, insulin-dependent	Endocrine	TCF1, HNF1A, MODY3
865	Diabetes mellitus, insulin-dependent, 5	Endocrine	SUMO4, IDDM5
866	Diabetes mellitus, insulin-dependent, susceptibility to	Endocrine	PTPN8, PEP, PTPN22, LYP
867	Diabetes mellitus, insulin-resistant, with acanthosis nigricans	Endocrine	INSR
868	Diabetes mellitus, insulin-resistant, with acanthosis nigricans and hypertension	Endocrine	PPARG, PPARG1, PPARG2
869	Diabetes mellitus, neonatal-onset	Endocrine	GCK
870	Diabetes mellitus, noninsulin-dependent	Endocrine	GCGR
871	Diabetes mellitus, noninsulin-dependent	Endocrine	GPD2
872	Diabetes mellitus, noninsulin-dependent	Endocrine	HNF4A, TCF14, MODY1
873	Diabetes mellitus, noninsulin-dependent	Endocrine	IRS2
874	Diabetes mellitus, noninsulin-dependent	Endocrine	MAPK8IP1, IB1
875	Diabetes mellitus, noninsulin-dependent	Endocrine	NEUROD1, NIDDM
876	Diabetes mellitus, noninsulin-dependent	Endocrine	TCF2, HNF2
877	Diabetes mellitus, noninsulin-dependent, 2	Endocrine	TCF1, HNF1A, MODY3
878	Diabetes mellitus, noninsulin-dependent	Endocrine	IRS1
879	Diabetes mellitus, noninsulin-dependent	Endocrine	SLC2A2, GLUT2
880	Diabetes mellitus, noninsulin-dependent	Endocrine	SLC2A4, GLUT4
881	Diabetes mellitus, noninsulin-dependent	Endocrine	CAPN10
882	Diabetes mellitus, non-insulin-dependent, susceptibility to	Endocrine	ENPP1, PDNP1, NPPS, M6S1, PCA1
883	Diabetes mellitus, noninsulin-dependent, susceptibility to	Endocrine	RETN, RSTN, FIZZ3
884	Diabetes mellitus, permanent neonatal, with cerebellar agenesis	Endocrine	PTF1A
885	Diabetes mellitus, permanent neonatal, with neurologic features	Endocrine	KCNJ11, BIR, PHHI
886	Diabetes mellitus, type II	Endocrine	AKT2
887	Diabetes mellitus, type II, susceptibility to	Endocrine	IPF1
888	Diabetes mellitus, type I, susceptibility to	Endocrine	FOXP3, IPEX, AIID, XPID, PIDX
889	Diabetes, permanent neonatal	Endocrine	KCNJ11, BIR, PHHI
890	Diabetic nephropathy, susceptibility to	Endocrine	ACE, DCP1, ACE1
891	Diabetic retinopathy, NIDDM-related, susceptibility to	Endocrine	VEGF
892	Diastrophic dysplasia	Skeletal	SLC26A2, DTD, DTDST, D5S1708, EDM4
893	Diastrophic dysplasia, broad bone-platyspondylic variant	Skeletal	SLC26A2, DTD, DTDST, D5S1708, EDM4
894	DiGeorge syndrome	multiple	TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR
895	Dihydropyrimidinuria	Metabolic	DPYS, DHP
896	Dilated cardiomyopathy with woolly hair and keratoderma	multiple	DSP, KPPS2, PPKS2
897	Dimethylglycine dehydrogenase deficiency	Metabolic	DMGDH, DMGDHD
898	Disordered steroidogenesis, isolated	Metabolic	POR
899	Dissection of cervical arteries	Connective tissue	COL1A1
900	DNA ligase I deficiency	multiple	LIG1
901	DNA topoisomerase I, camptothecin-resistant	Metabolic	TOP1
902	DNA topoisomerase II, resistance to inhibition of, by amsacrine	Metabolic	TOP2A, TOP2
903	Dopamine-beta-hydroxylase activity levels, plasma	Metabolic	DBH
904	Dopamine beta-hydroxylase deficiency	Metabolic	DBH
905	Dosage-sensitive sex reversal	Endocrine	DAX1, AHC, AHX, NROB1
906	Double-outlet right ventricle	Cardiovascular	CFC1, CRYPTIC, HTX2
907	Down syndrome, risk of	multiple	MTR
908	Doyne honeycomb degeneration of retina	Ophthamological	EFEMP1, FBNL, DHRD
909	Drug addiction, susceptibility to	Psychiatric	FAAH
910	Duane-radial ray syndrome	multiple	SALL4, HSAL4
911	Dubin-Johnson syndrome	Metabolic	ABCC2, CMOAT
912	Duchenne muscular dystrophy	Muscular	DMD, BMD
913	Dyggve-Melchior-Clausen disease	multiple	DYM, FLJ90130, DMC, SMC
914	Dysalbuminemic hyperthyroxinemia	Hematological	ALB
915	Dysautonomia, familial	Neurological	IKBKAP, IKAP
916	Dyschromatosis symmetrica hereditaria	Dermatological	ADAR, DRADA, DSH, DSRAD
917	Dyserythropoietic anemia with thrombocytopenia	Hematological	GATA1, GF1, ERYF1, NFE1
918	Dysfibrinogenemia, alpha type, causing bleeding diathesis	Hematological	FGA
919	Dysfibrinogenemia, alpha type, causing recurrent thrombosis	Hematological	FGA
920	Dysfibrinogenemia, beta type	Hematological	FGB
921	Dysfibrinogenemia, gamma type	Hematological	FGG
922	Dyskeratosis congenita-1	Dermatological	DKC1, DKC
923	Dyskeratosis congenita, autosomal dominant	Dermatological	TERC, TRC3, TR
924	Dyslexia, susceptibility to, 1	Psychiatric	DYX1C1, DYXC1, DYX1
925	Dyslexia, susceptibility to, 2	Psychiatric	KIAA0319, DYX2, DYLX2, DLX2
926	Dysprothrombinemia	Hematological	F2
927	Dyssegmental dysplasia, Silverman-Handmaker type	Neurological	HSPG2, PLC, SJS, SJA, SJS1
928	Dystonia-12	Neurological	ATP1A3, DYT12, RDP
929	Dystonia-1, torsion	Neurological	DYT1, TOR1A
930	Dystonia, DOPA-responsive	Neurological	GCH1, DYT5
931	Dystonia, early-onset atypical, with myoclonic features	Neurological	DYT1, TOR1A
932	Dystonia, myoclonic	Neurological	DRD2
933	Dystonia, myoclonic	Neurological	SGCE, DYT11
934	Dystonia, primary cervical	Neurological	DRD5, DRD1B, DRD1L2
935	Dystransthyretinemic hyperthyroxinemia	Hematological	TTR, PALB
936	EBD, Bart type	Dermatological	COL7A1
937	EBD, localisata variant	Dermatological	COL7A1
938	Ectodermal dysplasia-1, anhidrotic	Dermatological	ED1, EDA, HED
939	Ectodermal dysplasia 2, hidrotic	Dermatological	GJB6, CX30, DFNA3, HED, ED2
940	Ectodermal dysplasia, anhidrotic	Dermatological	EDARADD
941	Ectodermal dysplasia, anhidrotic, lymphedema and immunodeficiency	Dermatological	IKBKG, NEMO, FIP3, IP2
942	Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency	Dermatological	NFKBIA, IKBA
943	Ectodermal dysplasia, hypohidrotic, autosomal dominant	Dermatological	EDAR, DL, ED3, EDA3
944	Ectodermal dysplasia, hypohidrotic, autosomal recessive	Dermatological	EDAR, DL, ED3, EDA3
945	Ectodermal dysplasia, hypohidrotic, with immune deficiency	Dermatological	IKBKG, NEMO, FIP3, IP2
946	Ectodermal dysplasia, Margarita Island type	Dermatological	HVEC, PVRL1, PVRR1, PRR1
947	Ectodermal dysplasia/skin fragility syndrome	Dermatological	PKP1
948	Ectopia lentis, familial	Ophthamological	FBN1, MFS1, WMS
949	Ectopia pupillae	Ophthamological	PAX6, AN2, MGDA
950	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	Skeletal	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS
951	Ehlers-Danlos due to tenascin X deficiency	Connective tissue	TNXB, TNX, TNXB1, TNXBS, TNXB2
952	Ehlers-Danlos syndrome, hypermobility type	Connective tissue	TNXB, TNX, TNXB1, TNXBS, TNXB2
953	Ehlers-Danlos syndrome, progeroid form	Connective tissue	B4GALT7, XGALT1, XGPT1
954	Ehlers-Danlos syndrome, type I	Connective tissue	COL1A1
955	Ehlers-Danlos syndrome, type I	Connective tissue	COL5A1
956	Ehlers-Danlos syndrome, type I	Connective tissue	COL5A2
957	Ehlers-Danlos syndrome, type II	Connective tissue	COL5A1
958	Ehlers-Danlos syndrome, type III	Connective tissue	COL3A1
959	Ehlers-Danlos syndrome, type IV	Connective tissue	COL3A1
960	Ehlers-Danlos syndrome, type VI	Connective tissue	PLOD, PLOD1
961	Ehlers-Danlos syndrome, type VII	Connective tissue	COL1A1
962	Ehlers-Danlos syndrome, type VIIA2	Connective tissue	COL1A2
963	Ehlers-Danlos syndrome, type VIIC	Connective tissue	ADAMTS2, NPI
964	Elite sprint athletic performance	Muscular	ACTN3
965	Elliptocytosis-1	Hematological	EPB41, EL1
966	Elliptocytosis-2	Hematological	SPTA1
967	Elliptocytosis-3	Hematological	SPTB
968	Elliptocytosis, Malaysian-Melanesian type	Hematological	SLC4A1, AE1, EPB3
969	Ellis-van Creveld syndrome	Skeletal	EVC
970	Ellis-van Creveld syndrome	Skeletal	LBN, EVC2
971	Emery-Dreifuss muscular dystrophy	Muscular	EMD, EDMD, STA
972	Emery-Dreifuss muscular dystrophy, AD	Muscular	LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B
973	Emery-Dreifuss muscular dystrophy, AR	Muscular	LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B
974	Emphysema	Respiratory	PI, AAT
975	Emphysema-cirrhosis	Respiratory	PI, AAT
976	Encephalopathy, familial, with neuroserpin inclusion bodies	Neurological	SERPINI1, PI12
977	Encephalopathy, progressive mitochondrial, with proximal renal tubulopathy due to cytochrome c oxidase deficiency	Neurological	COX10
978	Enchondromatosis, Ollier type	Cancer	PTHR1, PTHR
979	Endometrial carcinoma	Cancer	CDH1, UVO
980	Endometrial carcinoma	Cancer	MSH3
981	Endometrial carcinoma	Cancer	MSH6, GTBP, HNPCC5
982	Endometrial carcinoma	Cancer	PTEN, MMAC1
983	Endotoxin hyporesponsiveness	Immunological	TLR4
984	Endplate acetylcholinesterase deficiency	Neurological	COLQ, EAD
985	Enhanced S-cone syndrome	Ophthamological	NR2E3, PNR, ESCS
986	Enlarged vestibular aqueduct	Ear,Nose,Throat	SLC26A4, PDS, DFNB4
987	Enolase-beta deficiency	Metabolic	ENO3
988	Enterokinase deficiency	Gastrointestinal	PRSS7, ENTK
989	Eosinophil peroxidase deficiency	Hematological	EPX
990	Epidermodysplasia verruciformis	Dermatological	EVER1, EV1
991	Epidermodysplasia verruciformis	Dermatological	EVER2, EV2
992	Epidermolysis bullosa dystrophica, AD	Dermatological	COL7A1
993	Epidermolysis bullosa dystrophica, AR	Dermatological	COL7A1
994	Epidermolysis bullosa, generalized atrophic benign	Dermatological	COL17A1, BPAG2
995	Epidermolysis bullosa, generalized atrophic benign	Dermatological	ITGB4
996	Epidermolysis bullosa, generalized atrophic benign	Dermatological	LAMA3, LOCS
997	Epidermolysis bullosa, generalized atrophic benign	Dermatological	LAMB3
998	Epidermolysis bullosa, generalized atrophic benign	Dermatological	LAMC2, LAMNB2, LAMB2T
999	Epidermolysis bullosa, Herlitz junctional type	Dermatological	LAMB3
1000	Epidermolysis bullosa, Herlitz junctional type	Dermatological	LAMC2, LAMNB2, LAMB2T
1001	Epidermolysis bullosa, junctional, Herlitz type	Dermatological	LAMA3, LOCS
1002	Epidermolysis bullosa, junctional, with pyloric atresia	Dermatological	ITGB4
1003	Epidermolysis bullosa, junctional, with pyloric stenosis	Dermatological	ITGA6
1004	Epidermolysis bullosa, lethal acantholytic	Dermatological	DSP, KPPS2, PPKS2
1005	Epidermolysis bullosa of hands and feet	Dermatological	ITGB4
1006	Epidermolysis bullosa, pretibial	Dermatological	COL7A1
1007	Epidermolysis bullosa pruriginosa	Dermatological	COL7A1
1008	Epidermolysis bullosa simplex, Koebner, Dowling-Meara, and Weber-Cockayne types	Dermatological	KRT14
1009	Epidermolysis bullosa simplex, Koebner, Dowling-Meara, and Weber-Cockayne types	Dermatological	KRT5
1010	Epidermolysis bullosa simplex, Ogna type	Dermatological	PLEC1, PLTN, EBS1
1011	Epidermolysis bullosa simplex, recessive	Dermatological	KRT14
1012	Epidermolysis bullosa simplex with mottled pigmentation	Dermatological	KRT5
1013	Epidermolytic hyperkeratosis	Dermatological	KRT10
1014	Epidermolytic hyperkeratosis	Dermatological	KRT1
1015	Epidermolytic palmoplantar keratoderma	Dermatological	KRT9, EPPK
1016	Epilepsy, benign, neonatal, type 1	Neurological	KCNQ2, EBN1
1017	Epilepsy, benign neonatal, type 2	Neurological	KCNQ3, EBN2, BFNC2
1018	Epilepsy, childhood absence	Neurological	GABRG2, GEFSP3, CAE2, ECA2
1019	Epilepsy, childhood absence	Neurological	CLCN2, EGMA, ECA3, EGI3
1020	Epilepsy, childhood absence, evolving to juvenile myoclonic epilepsy	Neurological	JRK, JH8
1021	Epilepsy, generalized idiopathic	Neurological	CACNB4, EJM
1022	Epilepsy, generalized, with febrile seizures plus	Neurological	GABRG2, GEFSP3, CAE2, ECA2
1023	Epilepsy, generalized, with febrile seizures plus, type 2	Neurological	SCN1A, GEFSP2, SMEI
1024	Epilepsy, idopathic generalized, susceptibility to	Neurological	ME2
1025	Epilepsy, juvenile absence	Neurological	CLCN2, EGMA, ECA3, EGI3
1026	Epilepsy, juvenile myoclonic	Neurological	CACNB4, EJM
1027	Epilepsy, juvenile myoclonic	Neurological	CLCN2, EGMA, ECA3, EGI3
1028	Epilepsy, juvenile myoclonic	Neurological	GABRA1, EJM
1029	Epilepsy, myoclonic, Lafora type	Neurological	EPM2A, MELF, EPM2
1030	Epilepsy, myoclonic, Lafora type	Neurological	NHLRC1, EPM2A, EPM2B
1031	Epilepsy, neonatal myoclonic, with suppression-burst pattern	Neurological	SLC25A22, GC1
1032	Epilepsy, nocturnal frontal lobe, 1	Neurological	CHRNA4, ENFL1
1033	Epilepsy, nocturnal frontal lobe, 3	Neurological	CHRNB2, EFNL3
1034	Epilepsy, partial, with auditory features	Neurological	LGI1, EPT, ETL1
1035	Epilepsy, progressive myoclonic 1	Neurological	CSTB, STFB, EPM1
1036	Epilepsy, progressive myoclonic 2B	Neurological	NHLRC1, EPM2A, EPM2B
1037	Epilepsy, severe myoclonic, of infancy	Neurological	SCN1A, GEFSP2, SMEI
1038	Epilepsy with grand mal seizures on awakening	Neurological	CLCN2, EGMA, ECA3, EGI3
1039	Epilepsy, X-linked, with variable learning disabilities and behavior disorders	Neurological	SYN1
1040	Epiphyseal dysplasia, multiple 1	Bone	COMP, EDM1, MED, PSACH
1041	Epiphyseal dysplasia, multiple	Bone	SLC26A2, DTD, DTDST, D5S1708, EDM4
1042	Epiphyseal dysplasia, multiple, 3	Bone	COL9A3, EDM3, IDD
1043	Epiphyseal dysplasia, multiple, 5	Bone	MATN3, EDM5, HOA
1044	Epiphyseal dysplasia, multiple, COL9A1-related	Bone	COL9A1, MED
1045	Epiphyseal dysplasia, multiple, type 2	Bone	COL9A2, EDM2
1046	Epiphyseal dysplasia, multiple, with myopathy	Bone	COL9A3, EDM3, IDD
1047	Episodic ataxia/myokymia syndrome	Neurological	KCNA1, AEMK, EA1
1048	Episodic ataxia, type 2	Neurological	CACNA1A, CACNL1A4, SCA6
1049	Epithelial ovarian cancer, somatic	Cancer	OPCML
1050	Epstein syndrome	Hematological	MYH9, MHA, FTNS, DFNA17
1051	Erythermalgia, primary	Neurological	SCN9A, NENA, PN1
1052	Erythremias, alpha-	Hematological	HBA1
1053	Erythremias, beta-	Hematological	HBB
1054	Erythrocytosis	Hematological	HBA2
1055	Erythrocytosis, familial	Hematological	EPOR
1056	Erythrokeratoderma, progressive symmetric	Dermatological	LOR
1057	Erythrokeratodermia variabilis	Dermatological	GJB3, CX31, DFNA2
1058	Erythrokeratodermia variabilis with erythema gyratum repens	Dermatological	GJB4, CX30.3
1059	Esophageal cancer	Cancer	TGFBR2, HNPCC6
1060	Esophageal carcinoma, somatic	Cancer	RNF6
1061	Esophageal squamous cell carcinoma	Cancer	LZTS1, F37, FEZ1
1062	Esophageal squamous cell carcinoma	Cancer	WWOX, FOR
1063	Estrogen resistance	Endocrine	ESR1, ESR
1064	Ethylmalonic encephalopathy	Metabolic	ETHE1, HSCO, D83198
